,Customer_ID,Units bought,Money Spent,Year,Month,Day,Date bought
0,1,1,11.77,1997,1,1,1/1/1997
1,2,1,12,1997,1,12,1/12/1997
2,2,5,77,1997,1,12,1/12/1997
3,3,2,20.76,1997,1,2,1/2/1997
4,3,2,20.76,1997,3,30,3/30/1997
5,3,2,19.54,1997,4,2,4/2/1997
6,3,5,57.45,1997,11,15,11/15/1997
7,3,4,20.96,1997,11,25,11/25/1997
8,3,1,16.99,1998,5,28,5/28/1998
9,4,2,29.33,1997,1,1,1/1/1997
10,4,2,29.73,1997,1,18,1/18/1997
11,4,1,14.96,1997,8,2,8/2/1997
12,4,2,26.48,1997,12,12,12/12/1997
13,5,2,29.33,1997,1,1,1/1/1997
14,5,1,13.97,1997,1,14,1/14/1997
15,5,3,38.9,1997,2,4,2/4/1997
16,5,3,45.55,1997,4,11,4/11/1997
17,5,3,38.71,1997,5,31,5/31/1997
18,5,2,26.14,1997,6,16,6/16/1997
19,5,2,28.14,1997,7,22,7/22/1997
20,5,3,40.47,1997,9,15,9/15/1997
21,5,4,46.46,1997,12,8,12/8/1997
22,5,3,40.47,1997,12,12,12/12/1997
23,5,3,37.47,1998,1,3,1/3/1998
24,6,1,20.99,1997,1,1,1/1/1997
25,7,2,28.74,1997,1,1,1/1/1997
26,7,7,97.43,1997,10,11,10/11/1997
27,7,9,138.5,1998,3,22,3/22/1998
28,8,1,9.77,1997,1,1,1/1/1997
29,8,1,13.97,1997,2,13,2/13/1997
30,8,3,45.29,1997,6,17,6/17/1997
31,8,2,36.76,1997,7,3,7/3/1997
32,8,1,2.99,1997,11,16,11/16/1997
33,8,7,50.43,1997,11,16,11/16/1997
34,8,1,13.99,1997,12,25,12/25/1997
35,8,2,24.46,1998,3,29,3/29/1998
36,9,2,23.54,1997,1,1,1/1/1997
37,9,2,30.33,1997,5,13,5/13/1997
38,9,2,41.98,1998,6,8,6/8/1998
39,10,3,39.31,1997,1,21,1/21/1997
40,11,1,13.49,1997,1,1,1/1/1997
41,11,1,19.3,1997,1,28,1/28/1997
42,11,1,12.77,1997,3,17,3/17/1997
43,11,1,12.99,1998,2,20,2/20/1998
44,12,4,57.06,1997,1,1,1/1/1997
45,13,4,72.94,1997,1,1,1/1/1997
46,14,2,29.92,1997,1,1,1/1/1997
47,15,4,52.87,1997,1,1,1/1/1997
48,16,1,9.77,1997,1,1,1/1/1997
49,16,2,31.6,1997,7,13,7/13/1997
50,16,4,28.51,1997,7,26,7/26/1997
51,16,1,9.99,1997,9,10,9/10/1997
52,17,5,73.22,1997,1,1,1/1/1997
53,18,1,14.96,1997,1,4,1/4/1997
54,19,10,163.35,1997,1,1,1/1/1997
55,19,1,11.77,1997,6,10,6/10/1997
56,20,27,363.6,1997,1,1,1/1/1997
57,20,19,289.41,1997,1,18,1/18/1997
